Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-31 12:10:53.053 +0100,"Success",0:00:02,0,0,0,"20160531_121053.053/LogFile.txt","","",1
2016-05-31 12:11:26.026 +0100,"Success",0:00:02,0,0,0,"20160531_121126.026/LogFile.txt","","",1
2016-05-31 12:12:10.010 +0100,"Success",0:00:03,0,0,0,"20160531_121210.010/LogFile.txt","","",1
2016-05-31 12:15:30.030 +0100,"Running",0:00:00,0,0,0,"20160531_121530.030/LogFile.txt","","",0
2016-05-31 12:16:06.006 +0100,"Failure",0:00:20,1,0,1,"20160531_121606.006/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001/Createlist""",0
2016-05-31 12:16:45.045 +0100,"Running",0:00:00,0,0,0,"20160531_121645.045/LogFile.txt","","",0
2016-05-31 12:17:37.037 +0100,"Failure",0:00:14,1,0,1,"20160531_121737.037/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001/Createlist""",0
2016-05-31 12:18:26.026 +0100,"Running",0:00:00,0,0,0,"20160531_121826.026/LogFile.txt","","",0
2016-05-31 12:25:54.054 +0100,"Failure",0:00:27,1,0,1,"20160531_122554.054/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001/Createlist""",0
2016-05-31 12:26:41.041 +0100,"Running",0:00:00,0,0,0,"20160531_122641.041/LogFile.txt","","",0
2016-05-31 12:27:12.012 +0100,"Failure",0:00:13,1,0,1,"20160531_122712.012/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""image0001/ListName""",0
2016-05-31 12:27:43.043 +0100,"Running",0:00:00,0,0,0,"20160531_122743.043/LogFile.txt","","",0
2016-05-31 12:29:32.032 +0100,"Failure",0:00:02,1,0,1,"20160531_122932.032/LogFile.txt","","Image Not Found -- waitfor Error - Image Property List did not contain ""ImageName"" property",0
2016-05-31 12:29:57.057 +0100,"Failure",0:00:02,1,0,1,"20160531_122957.057/LogFile.txt","","Image Not Found -- waitfor Error - Image Property List did not contain ""ImageName"" property",0
2016-05-31 12:30:28.028 +0100,"Failure",0:00:02,1,0,1,"20160531_123028.028/LogFile.txt","","Image Not Found -- waitfor Error - Image Property List did not contain ""ImageName"" property",0
